domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Business,Marketing,International Marketing in Asia,Yonsei University,Dae Ryun Chang,0,"
        ",87,"marketing,asia,south korea",Free Online Course (Audit),2015-07-01,Finished,English,"
              Certificate Available
            ",6 weeks long
Business,Finance,"Asset Pricing, Part 1",The University of Chicago ,and John Cochrane,3,"
        ",427,"usa,north america",Free Online Course (Audit),2015-06-08,Finished,English,"
              Certificate Available
            ",7 weeks long
Business,Management & Leadership,Gestión del Clima Organizacional y el Bienestar en el trabajo,Universidad Blas Pascal,Shirley Saunders,0,"
        ",43,"argentina,south america",Free Online Course,2015-05-25,Finished,Spanish,,4 weeks long
Business,Business,Mobile Devices in Everyday Life,Tallinn University,Priit Tammets,0,"
        ",,"europe,mobile devices,productivity,estonia",Free Online Course,2015-05-18,Finished,Estonian,,5 weeks long
Business,Finance,"Asset Pricing, Part 2",The University of Chicago ,John Cochrane,4,"
        ",227,"usa,north america",Free Online Course (Audit),2015-06-08,Finished,English,"
              Certificate Available
            ",7 weeks long
Business,Business,Public-Private Partnerships (PPP): How can PPPs help deliver better services?,The World Bank,"Fernanda Ruiz Nuñez, Jane Jamieson and Dianne Rudo",1,"
        ",309,,Free Online Course (Audit),2015-06-01,Finished,English,"
              Certificate Available
            ",4 weeks long
Business,Marketing,"Store Design, Visual Merchandising and Shopper Marketing",iversity,Claus Ebster,1,"
        ",379,,Free Online Course,2015-05-04,Finished,English,,6 weeks long
Business,Management & Leadership,The Future of Work,Quincy College,"Jean Marrapodi, Ph.D., CPLP and Bill Jensen",1,"
        ",61,"usa,north america",Free Online Course,2015-04-20,Finished,English,,6 weeks long
Business,Entrepreneurship,Innovation and Enterprise,Loughborough University,Julie Holland,1,"
        ",162,"europe,uk",Free Online Course (Audit),2015-04-06,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Entrepreneurship,Growth Hacking : Outils et méthodes pour booster votre startup,SupIntx,Daniel Jarjoura and Pierre Conreaux,0,"
        ",44,,Free Online Course,2015-04-01,Finished,French,,4 weeks long
Business,Business,"Internet, les autres et moi",Certificat informatique et internet,COLLECTIF D’ENSEIGNANTS DU C2I NIVEAU 1 AU NIVEAU NATIONAL,0,"
        ",24,,Free Online Course,2016-02-01,Finished,French,,9 weeks long
Business,Finance,Improving Business Finances and Operations Capstone,University of Illinois at Urbana-Champaign,Jeff Flesher,0,"
        ",,"business,finance,capstone",,2016-01-27,Finished,English,"
              Paid Certificate Available
            ",5 weeks long
Business,Entrepreneurship,Innotools: Transforma tu idea de negocio,Universitat Pompeu Fabra,Màrian Buil Fàbrega,0,"
        ",25,"value proposition,spain,europe,business ideas",Free Online Course,2016-01-19,Finished,Spanish,,6 weeks long
Business,Finance,Probability and Stochastics for finance,Indian Institute of Technology Kanpur,Joydeep Dutta,0,"
        ",33,"india,probability,asia,mathematical finance,financial derivatives",Free Online Course,2016-01-18,Finished,English,"
              Certificate Available
            ",4 weeks long
Business,Entrepreneurship,Scaling Up Your Venture Without Screwing Up,Stanford Graduate School of Business,Robert Sutton and Huggy Rao,4,"
        ",333,"usa,north america",Free Online Course,2016-02-01,Finished,English,"
              Certificate Available
            ",6 weeks long
Business,Management & Leadership,فن اداره الفنادق,Rwaq (رواق),Sarah Solomon Qasim,1,"
        ",8,"hospitality industry,hotel management",Free Online Course,2016-01-10,Finished,Arabic,,11 weeks long
Business,Finance,Advanced Credit Risk Management,Delft University of Technology,Pasquale Cirillo,0,"
        ",,delftx,,2015-12-01,Finished,English,,6 weeks long
Business,Finance,تخطيط الأمور المالية الشخصية,Edraak,Odeh Habash,0,"
        ",4,personal finance,Free Online Course,2015-11-24,Finished,Arabic,,4 weeks long
Business,Finance,Gerenciamento de Financas Pessoais (Personal Finance Management),American College of Brazilian Studies,Alfredo Freitas,0,"
        ",20,"usa,north america",Free Online Course,2015-12-07,Finished,Portuguese,,7 weeks long
Business,Business,Búsqueda y Gestión de la Información en la Web,Universidad de Santiago de Chile,Juan Silva,0,"
        ",4,"world wide web,google searching,web 2.0,chile,south america",Free Online Course,2015-11-16,Finished,Spanish,"
              Certificate Available
            ",5 weeks long
Business,Strategic Management,Analyzing Global Trends for Business and Society,University of Pennsylvania,Mauro Guillén,2,"
        ",95,"wharton,usa,north america",Free Online Course (Audit),2015-11-15,Finished,English,,7 weeks long
Business,Strategic Management,CSR & Value Creation,Audencia Nantes,Céline Louche,1,"
        ",136,"europe,france",Free Online Course,2015-11-16,Finished,English,,5 weeks long
Business,Entrepreneurship,ريادة الأعمال: من هو عميلك,Massachusetts Institute of Technology,Bill Aulet and Brehan Abu Zaid,0,"
        ",6,"usa,north america",Free Online Course,2015-11-15,Finished,Arabic,,7 weeks long
Business,Business,Bien archiver : la réponse au désordre numérique,Université Paris Ouest Nanterre la Défense,Louise Merzeau and Marie-Anne Chabin,0,"
        ",13,"europe,archives,information management,france",Free Online Course,2015-11-02,Finished,French,,7 weeks long
Business,Entrepreneurship,من فكرة الى شركة: مقدمة في ريادة الأعمال,American University in Cairo,Nada Bashir and Ayman Ismail,1,"
        ",12,"africa,egypt",Free Online Course,2015-11-11,Finished,Arabic,,6 weeks long
Business,Business,Business in a Political Age,George Washington University,Hon. Mark R. Kennedy,1,"
        ",46,"usa,north america",Free Online Course,2015-11-01,Finished,English,,7 weeks long
Business,Project Management,Preparación de la certificación PMP (Project Management Professional),Universidad de Murcia,María Reyes Hernández-Mora,0,"
        ",24,"spain,europe,project management,pmp",Free Online Course,2015-11-10,Finished,Spanish,"
              Certificate Available
            ",6 weeks long
Business,Management & Leadership,Coaching de Vida,Universidad Ricardo Palma,Ricardo De la Cruz Gil and Oskart Ramírez Guija,1,"
        ",49,life coaching,Free Online Course,2015-11-04,Finished,Spanish,"
              Certificate Available
            ",5 weeks long
Business,Management & Leadership,Leadership for Change / Liderazgo en tiempos de cambio,Universitas Telefónica,Bernardo Quinn and David Freire,0,"
        ",12,"spain,leadership,europe",Free Online Course,2015-10-30,Finished,Spanish,,5 weeks long
Business,Business,Dialogue social et formation continue,CNAM,Jean-Luc Ferrand,0,"
        ",,"communication,social skills",Free Online Course,2015-10-19,Finished,French,,4 weeks long
Business,Management & Leadership,مهارات التطور المهني,Bayt,Amara Zubair and Ahmed Alterani,0,"
        ",17,,Free Online Course,2015-10-25,Finished,Arabic,"
              Certificate Available
            ",3 weeks long
Business,Industry Specific,A Behind The Scenes Look Into Airline Operations,Embry-Riddle Aeronautical University,Gwen Schallow,0,"
        ",50,"airline industry,airline flights,usa,north america",Free Online Course,2016-08-22,Finished,English,"
              Certificate Available
            ",3 weeks long
Business,Marketing,Building Strong Digital Brands,Berlin Career College,Dieter Georg Herbst,3,"
        ",109,digital branding,Free Online Course,2015-10-19,Finished,English,"
              Certificate Available
            ",4 weeks long
Business,Accounting,Accounting: Making Sound Decisions,IESE Business School,Marc Badia,1,"
        ",93,"spain,europe,financial accounting,balance sheets",Free Online Course (Audit),2016-07-25,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Strategic Management,ga049: 観光・レジャー産業のマネジメント －業界イノベーションの種をさぐる－,gacco,Yamaguchi Aritsugu,0,"
        ",,tourism industry,Free Online Course,2016-08-25,Finished,Japanese,,4 weeks long
Business,Strategic Management,La inteligencia Cultural y la Administración de empresas internacionales,Universidad Esan,William Davis,0,"
        ",6,"business management,cultural intelligence,international business,peru,south america",Free Online Course,2016-07-22,Finished,Spanish,,6 weeks long
Business,Industry Specific,Tourism Industry Analysis,University of Central Florida,Tadayuki Hara,5,"
        ",152,"usa,north america",Free Online Course,2016-08-22,Finished,English,,7 weeks long
Business,Business,Encontrando tesoros en la red,Universidad Tecnológica Nacional,Silvana Andrea Carnicero Sanguinetti and Cristina Velázquez,2,"
        ",12,"internet,argentina,south america",Free Online Course,2016-07-17,Finished,Spanish,"
              Certificate Available
            ",6 weeks long
Business,Finance,Financial Evaluation and Strategy: Investments,University of Illinois at Urbana-Champaign,Scott Weisbenner,5,"
        ",430,"usa,north america",Free Online Course (Audit),2016-07-18,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Finance,Fast Track Finance #1,University of Michigan,Gautam Kaul,1,"
        ",86,"finance,stocks,bonds,tvm,usa,north america",Free Online Course (Audit),2016-07-11,Finished,English,,9 weeks long
Business,Marketing,Marketing para emprendedores. La experiencia chicha,Universidad Esan,Jaime Enrique Bailon Maxi,0,"
        ",4,"marketing,peru,south america",Free Online Course,2016-07-22,Finished,Spanish,,6 weeks long
Business,Entrepreneurship,uINOV8x: User Innovation: A Path to Entrepreneurship,Massachusetts Institute of Technology,Eric von Hippel,4,"
        ",526,"mitx,usa,north america",Free Online Course (Audit),2016-07-01,Finished,English,"
              Paid Certificate Available
            ",52 weeks long
Business,Finance,FINANCEx: Personal Finance Planning,Purdue University,Sugato Chakravarty,0,"
        ",186,"purduex,usa,north america",Free Online Course (Audit),2016-06-15,Finished,English,"
              Paid Certificate Available
            ",25 weeks long
Business,Entrepreneurship,Technology Entrepreneurship Part 2,Stanford University,Chuck Eesley,12,"
        ",289,"entreprenuership,tech startups,technology entrepreneurship,usa,north america",Free Online Course,2016-07-05,Finished,English,,5 weeks long
Business,Management & Leadership,Introduction to Management,The University of Oklahoma,Jeremy Short,4,"
        ",387,"management,usa,north america",Free Online Course,2016-06-13,Finished,English,,4 weeks long
Business,Marketing,Storytelling in Advertising,D&AD,Paul Drake and Hilary Chittenden,0,"
        ",142,"digital branding,storytelling",Free Online Course (Audit),2016-06-06,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business Intelligence,Implementation of SAP Cloud for Analytics,openSAP,Sreedhar Muthuramalingam and Mark P Burke,1,"
        ",21,"data visualization,sap cloud,business analytics",Free Online Course,2016-06-06,Finished,English,,3 weeks long
Business,Management & Leadership,The organisation of cultural enterprises II,University of Naples Federico II,Stefano Consiglio,0,"
        ",4,"europe,organizational culture,italy",Free Online Course,2016-06-01,Finished,Italian,,6 weeks long
Business,Finance,Banking and Financial Markets: A Risk Management Perspective,Indian Institute of Management Bangalore,PC Narayan,0,"
        ",43,iimbx,Free Online Course (Audit),2016-08-25,Finished,English,,7 weeks long
Business,Marketing,Implementing Customer Insights for Your Business,Delft University of Technology,"Prof. Dr. Pieter Jan Stappers, Sanne Kistemaker, MSc and Dr. Froukje Sleeswijk Visser",0,"
        ",8,delftx,,2017-04-04,Finished,English,,4 weeks long
Business,Management & Leadership,"Advanced Leadership for Engineers: Leading Teams, Organizations and Networks",Delft University of Technology,"Hans de Bruijn, Gerdien de Vries and Dr. H. G. van der Voort",1,"
        ",28,"europe,delftx,netherlands",,2017-03-22,Finished,English,,5 weeks long
Business,Business,Business Futures: Understanding Omni-channel Retailing and Supply Chains,RMIT University,Liz Eades,0,"
        ",32,australia,Free Online Course (Audit),2017-03-20,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Management & Leadership,An Introduction to Public Leadership,The Open University,Mike Lucas,0,"
        ",65,"europe,uk,private sector,public leadership,executives",Free Online Course (Audit),2017-03-13,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Industry Specific,Concert Production Techniques: Artistry and Business Development,Canvas Network,Tom Stein,1,"
        ",29,"music industry,concert production",Free Online Course,2017-03-06,Finished,English,"
              Certificate Available
            ",6 weeks long
Business,Management & Leadership,Innovation: The Key to Business Success,University of Leeds,Dan Trowsdale,3,"
        ",300,"innovation,business,europe,uk",Free Online Course (Audit),2017-01-09,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Entrepreneurship,Online Business: Digital Marketing for Success,RMIT University,Brett Stavenuiter,0,"
        ",200,"digital marketing,marketing strategy,online business,australia",Free Online Course (Audit),2017-11-06,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business,Transformation digitale des services et des entreprises,Grenoble School of Management,Marc PRUNIER,0,"
        ",11,"europe,france",Free Online Course (Audit),2017-10-30,Finished,French,"
              Paid Certificate Available
            ",4 weeks long
Business,Strategic Management,Supply Chains in Practice: How Things Get to You,The University of Warwick,"John Bancroft, Gwynne Richards, Donato Masi, Catherine Bowser and Jan Godsell",0,"
        ",34,"europe,uk",Free Online Course (Audit),2017-10-16,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Management & Leadership,Product Management for Journalists,Knight Center for Journalism in the Americas,"Aaron Bernstein, Becca Aaronson and Cindy Royal",0,"
        ",20,"journalism,product management,strategy",Free Online Course,2017-10-16,Finished,English,,4 weeks long
Business,Business,Digital Transformation of Businesses and Services,Grenoble School of Management,Marc PRUNIER and Hubert Kratiroff,0,"
        ",13,"business,digital services",Free Online Course (Audit),2017-10-30,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Industry Specific,Circular Economy,Wageningen University,"Jacqueline Bloemhof, Emiel Wubben and Jan Vreeburg",0,"
        ",37,wageningenx,Free Online Course (Audit),2017-10-24,Finished,English,,9 weeks long
Business,Marketing,Green Marketing,Heliopolis University,Omar H. Eldahan,2,"
        ",162,green marketing,Free Online Course,2017-10-09,Finished,English,,6 weeks long
Business,Entrepreneurship,Online Business: Pricing for Success,RMIT University,Brett Stavenuiter,0,"
        ",80,"pricing strategy,online business,australia",Free Online Course (Audit),2017-10-09,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Marketing,Research Report: Delivering Insights,"University of California, Davis","Robin Boyar and Ashwin Aravindakshan, PhD",0,"
        ",49,"reporting,market research,research",Free Online Course (Audit),2017-10-02,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Strategic Management,Making Sense of Service Logic,Karlstad University,"Maria Åkesson, Nina Löfberg and Jörg Pareigis",0,"
        ",14,"europe,sweden",Free Online Course,2017-10-09,Finished,English,,10 weeks long
Business,Business,Imprese culturali e innovazione sociale,University of Naples Federico II,Stefano Consiglio,0,"
        ",5,"europe,italy",Free Online Course,2017-10-09,Finished,Italian,,6 weeks long
Business,Entrepreneurship,Entrepreneurship 102: Do You Have A Product?,Massachusetts Institute of Technology,Bill Aulet,5,"
        ",327,mitx,Free Online Course (Audit),2017-10-03,Finished,English,,53 weeks long
Business,Finance,Les fondamentaux de la gestion des risques financiers,PSL Research University,Oscar Mccarthy and Justin Mccarthy,0,"
        ",9,"risk management,financial risk management,financial risks",Free Online Course,2017-10-02,Finished,French,,6 weeks long
Business,Management & Leadership,Evidence-Based Management Capstone,Australian National University,Patrick L'Espoir Decosta,0,"
        ",9,"management,decision making,anux,micromasters",Free Online Course (Audit),2018-04-07,Finished,English,,2 weeks long
Business,Entrepreneurship,"Decodificando Silicon Valley: cultura, innovación y emprendimiento",Pontificia Universidad Católica de Chile,Ricardo San Martín,0,"
        ",10,"silicon valley,chile,south america",Free Online Course (Audit),2018-03-26,Finished,Spanish,"
              Paid Certificate Available
            ",4 weeks long
Business,Accounting,Financial Accounting and Analysis,Indian Institute of Management Bangalore,Dr. Padmini Srinivasan,0,"
        ",166,iimbx,Free Online Course (Audit),2018-04-19,Finished,English,,6 weeks long
Business,Strategic Management,La transition énergétique : les clés du développement durable de l'Europe et de l'Afrique,CNAM,"Georges Descombes, Sylvie Faucheux and Christelle Périlhon",0,"
        ",,"natural resources,europe,africa,sustainable development,energy sector",Free Online Course,2018-03-26,Finished,French,"
              Certificate Available
            ",6 weeks long
Business,Marketing,Apprendre le marketing autrement : la méthode du produit fil rouge 2,Université de Bordeaux,Laurence Chérel and Catherine Madrid,0,"
        ",,"marketing,products",Free Online Course,2018-03-26,Finished,French,"
              Paid Certificate Available
            ",6 weeks long
Business,Project Management,Leading Effective Project Teams,The College of St. Scholastica,Kent Lacy,0,"
        ",65,"leadership,project management,teamwork",Free Online Course,2018-03-19,Finished,English,"
              Certificate Available
            ",6 weeks long
Business,Management & Leadership,Management de la force de vente,Université Montpellier 2,Christophe Fournier,0,"
        ",8,"sales force,sales force management,recruitment",Free Online Course,2018-03-01,Finished,French,,6 weeks long
Business,Industry Specific,FRUTURA Technologies: Quality of Fruits (Tecnologías FRUTURA: Calidad de frutas),Universidad Politécnica de Madrid,"Adolfo Moya González, Eva Cristina Correa Hernando and Lourdes Lleó García",0,"
        ",4,"food,fruits,agriculture industry",Free Online Course,2018-02-26,Finished,Spanish,,8 weeks long
Business,Business,Gestione della Produzione e della Logistica,University of Naples Federico II,Roberto Vona,0,"
        ",5,"europe,italy",Free Online Course,2018-02-14,Finished,Italian,,8 weeks long
Business,Entrepreneurship,Entrepreneurship: Disruptive Innovation in Academics and Business,Universidad Politécnica de Madrid,"Diego Iglesias Gomez, Angela Ruiz and Atxu Amann",0,"
        ",10,innovation,Free Online Course,2018-02-07,Finished,English,"
              Certificate Available
            ",5 weeks long
Business,Management & Leadership,Coaching in the Knowledge Era,Deakin University,Paddy Upton,0,"
        ",110,coaching,Free Online Course (Audit),2018-10-29,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Entrepreneurship,Création d'entreprises innovantes : de l'idée à la start-up,Université Montpellier 2,Véronique Bessière,0,"
        ",13,startups,Free Online Course,2018-10-18,Finished,French,,6 weeks long
Business,Industry Specific,Aviation is Your Future,Embry-Riddle Aeronautical University,Patti Clark and Linda Weiland,1,"
        ",160,"aviation,career",Free Online Course,2018-10-08,Finished,English,,2 weeks long
Business,Strategic Management,Process Improvement,University of Illinois at Urbana-Champaign,Gopesh Anand,1,"
        ",2032,"usa,north america",Free Online Course (Audit),2018-10-08,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Entrepreneurship,Effective Fundraising and Leadership in Arts and Culture,University of Leeds,Ben Walmsley,1,"
        ",49,"leadership,fundraising",Free Online Course (Audit),2018-10-01,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Finance,Financial Decision Rules for Project Evaluation,University of Michigan,Gautam Kaul,0,"
        ",81,michiganx,Free Online Course (Audit),2018-10-01,Finished,English,"
              $99 Certificate Available
            ",8 weeks long
Business,Human Resources,An Introduction to the Assessment of People at Work,Coventry University,Sophie Ward,0,"
        ",168,"human resources,people management,assessments",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Entrepreneurship,Social Business: a Sustainable Way to Face the Most Pressing Needs of Our Time,Universitat Pompeu Fabra,Ester Oliveras,0,"
        ",26,"spain,europe",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Strategic Management,Operations Management,University of Illinois at Urbana-Champaign,Gopesh Anand,7,"
        ",10068,"usa,north america",Free Online Course (Audit),2018-10-10,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Marketing,The Secret Power of Brands,University of East Anglia,Robert Jones,6,"
        ",456,"europe,uk",Free Online Course (Audit),2018-09-24,Finished,English,"
              Paid Certificate Available
            ",10 weeks long
Business,Strategic Management,Liderando la transformación digital en las organizaciones,Universidad Politécnica de Madrid,"Félix Pascual Miguel, Emiliano Acquila Natale and Ángel Hernández García",0,"
        ",20,"business,digital transformation",Free Online Course,2018-02-19,Finished,Spanish,,6 weeks long
Business,Strategic Management,"SMEs and New Markets: Trade, the Chinese Powerhouse and Online Opportunities",Deakin University,Bruce Billson,0,"
        ",74,"business,china,global markets",Free Online Course (Audit),2018-09-17,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Marketing,Global Marketing: A Definition,Coventry University,Edward Turner,0,"
        ",99,"globalization,marketing",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Management & Leadership,Leaders: Their Role and Impact on Business,Coventry University,Anne Turner,0,"
        ",134,"business,leadership",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Business,Managing People from a Global Perspective,Arizona State University,Christine Pearson,0,"
        ",29,thunderbirdx,Free Online Course (Audit),2019-01-15,Finished,English,,6 weeks long
Business,Marketing,Introduction to Public Relations,National University of Singapore,Mohan Dutta,2,"
        ",644,"asia,public relations,singapore",Free Online Course (Audit),2018-09-10,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business,Maritime Law: an Introduction to Shipping Transactions,Law Society of Scotland,Ed Watt,0,"
        ",60,"maritime law,shipping,global trade",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Management & Leadership,Managing People: Understanding Individual Differences,University of Reading,Katherine Weber,0,"
        ",180,"management,conflict resolution",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Entrepreneurship,Raising Funds for Your Startup,Grenoble School of Management,CHRISTOPHE BONNET,0,"
        ",49,"startups,fundraising",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Entrepreneurship,Human Capital Strategy for Social Enterprises,+Acumen,Anne-Claire Broughton,0,"
        ",54,human capital management,Free Online Course,2019-01-14,Finished,English,,8 weeks long
Business,Business,Le comportement du commercial B to B à l'ère 2.0,Université Jean Moulin Lyon 3,"Leslie Huin, Corine Lecot and Corinne Montoya",0,"
        ",,"business,sales,b2b",Free Online Course,2019-01-08,Finished,French,"
              Certificate Available
            ",5 weeks long
Business,Management & Leadership,The Self-aware Coach,Deakin University,Paddy Upton,0,"
        ",64,"leadership,coaching,self-awareness",Free Online Course (Audit),2019-01-14,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Management & Leadership,Leading and Managing People-Centred Change,Durham University,Dr Julie Hodges,0,"
        ",173,,Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Business Intelligence,Using Open Data for Digital Business,"Royal Holloway, University of London",Tom Wainwright,1,"
        ",17,,Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Business,Open Innovation,Durham University,Christos Tsinopoulos,0,"
        ",27,"europe,uk",Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Management & Leadership,Edward Jenner Leadership for Veterinary Professionals: Developing Leadership Foundations,NHS Leadership Academy,Jason Brewster,0,"
        ",20,"veterinarian medicine,leadership",Free Online Course (Audit),2019-01-07,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Finance,Mergers and Acquisitions: Advanced Theory,New York Institute of Finance,Fiona R,0,"
        ",21,"acquisitions,mergers",,2019-02-18,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Project Management,"Project Management Principles, Practices and Systems",Anglia Ruskin University,Lucy Wheeler,0,"
        ",128,,Free Online Course (Audit),2019-02-18,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Strategic Management,Introduction to Strategic Doing: An Agile Approach to Strategy,Purdue University,Scott Hutcheson,0,"
        ",251,"agile,strategy,planning",Free Online Course (Audit),2019-02-04,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Management & Leadership,Managing People: Connecting Motivation and Performance,University of Reading,Katherine Weber,0,"
        ",144,"management,motivation",Free Online Course (Audit),2019-02-04,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Finance,Mergers and Acquisitions: Concepts and Theories,New York Institute of Finance,Fiona R,0,"
        ",21,"acquisitions,mergers",,2019-01-28,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Management & Leadership,Management of Field Sales,Indian Institute of Technology Kanpur,Prof. Jayanta Chatterjee,0,"
        ",40,sales,Free Online Course,2019-01-28,Finished,English,"
              Certificate Available
            ",4 weeks long
Business,Entrepreneurship,Business Model Thinking,Coventry University,Tara Hawes,0,"
        ",130,"business models,strategy",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Project Management,The Importance of Project Management in the Global Construction Industry,Coventry University,Nirooja Thurairajah,0,"
        ",139,"project management,construction",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Entrepreneurship,Uncovering Your Entrepreneurial Potential,Coventry University,Cherisse H,0,"
        ",104,,Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Business,The Global Business Environment: Evolution and Dynamics,Coventry University,Maktoba  Omar,0,"
        ",44,"business,uk",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
Business,Management & Leadership,Leadership for Veterinary Professionals: Your Leadership Self,Royal College of Veterinary Surgeons,Jason Brewster,0,"
        ",28,"veterinarian medicine,leadership",Free Online Course (Audit),2018-11-26,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Business Intelligence,Supply Chain Innovation: How Technology Can Create a Sustainable Future,University of Twente,Jos Van Hillegersberg,0,"
        ",74,"europe,supply chain management,netherlands",Free Online Course (Audit),2018-11-19,Finished,English,"
              Paid Certificate Available
            ",6 weeks long
Business,Entrepreneurship,Entrepreneurship and Family Business,Open2Study,Leon Levin,3,"
        ",1703,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Finance,Financial Literacy,Macquarie University,Peter Mordaunt,13,"
        ",892,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Business Intelligence,Introduction to Enterprise Architecture,Enterprise Architects,Craig Martin,3,"
        ",699,"europe,uk",Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Management & Leadership,"Leadership: Identity, Influence and Power",Open2Study,Randal Tame,9,"
        ",9537,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Management & Leadership,Strategic Management,Open2Study,Mo Kader,14,"
        ",2050,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Industry Specific,Midwifery,Open2Study,Dr Lyn Ebert,0,"
        ",180,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Human Resources,Human Resources,Open2Study,Christina Dahdal,19,"
        ",8786,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Finance,Diagnosing the Financial Health of a Business,Macquarie Graduate School of Management,Guy Ford,6,"
        ",476,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Entrepreneurship,Innovation for Powerful Outcomes,Swinburne University of Technology,Dr Noordin Shehabuddeen,30,"
        ",11007,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Project Management,Principles of Project Management,Polytechnic West,Sue Dowson,31,"
        ",3650,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Finance,Financial Planning,TAFE NSW,Kerrie Adra and Diana Bugarcic,6,"
        ",910,australia,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Business,"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",University of Adelaide,"Professor Wendy Umberger, Elizabeth Gunner, Craig Johns and Dr. Alexandra Peralta",1,"
        ",320,"business,agriculture,food systems",Free Online Course (Audit),2018-11-15,Finished,English,,4 weeks long
Business,Entrepreneurship,Technology Entrepreneurship: How to Start a New Venture,University of Twente,Rainer Harms,0,"
        ",130,tech startups,Free Online Course (Audit),2018-11-12,Finished,English,"
              Paid Certificate Available
            ",3 weeks long
Business,Marketing,Online Advertising,Open2Study,Patty Keegan,14,"
        ",1275,,Free Online Course,2018-11-18,Finished,English,,4 weeks long
Business,Strategic Management,Innovation Strategy: Challenging the Usual Suspects,Université libre de Bruxelles,Manuel Hensmans,0,"
        ",58,"innovation,strategy",Free Online Course (Audit),2018-11-12,Finished,English,"
              Paid Certificate Available
            ",4 weeks long
Business,Accounting,An Introduction to Financial Management in Construction,Coventry University,Nirooja Thurairajah,0,"
        ",129,"finance,accounting",Free Online Course (Audit),2019-01-21,Finished,English,"
              Paid Certificate Available
            ",2 weeks long
